listen;cлушать;Listen, everybody!;Слушайте, все!
place;место;Take your place.;Займи своё место.
leave;оставлять, уходить;Leave immediately!;Уходите немедленно!
rain;дождь;The rain stopped.;Дождь прекратился.
sweet;сладкий;Chocolate tastes sweet.;Шоколад на вкус сладкий.
talk;разговаривать;Stop talking.;Прекратите разговаривать.
safe;безопасный;Is it safe?;Это безопасно?
body;тело;Listen to your body.;Прислушивайтесь к своему телу.
possible;вероятный, возможный;Is it possible?;Это возможно?
table;стол;This table is reserved.;Этот столик забронирован.
slow;медленный;Progress was slow.;Прогресс был медленным.
hair;волосы;Brush your hair.;Расчеши волосы.
money;деньги;Time is money.;Время - деньги.
cheap;дешёвый;It looked cheap.;Это выглядело дёшево.
study;изучать;Study hard.;Учись усердно.
house;дом;Leave my house.;Уходи из моего дома.
black;чёрный;Crows are black.;Вороны чёрные.
stop;прекращать;Stop that!;Прекрати это!
need;нуждаться;Need anything else?;Тебе ещё что-нибудь нужно?
warm;тёплый;Wear warm clothes.;Наденьте тёплую одежду.
water;вода;Just water, please.;Просто воды, пожалуйста.
hand;рука;Hands off.;Руки прочь.
walk;гулять, идти;Walk slowly.;Иди медленно.
pay;платить;Let me pay.;Позвольте мне заплатить.
hot;горячий;Sand is hot.;Песок горячий.
start;начинать;Start over.;Начни сначала.
girl;девочка;Hurry up, girls.;Поспешите, девочки.
sister;сестра;He has one brother and two sisters.;У него один брат и две сестры.
father;отец;Call his father.;Позвони его отцу.
job;работа;Finish the job.;Закончи работу.
important;важный;Education is important.;Образование важно.
hard;трудный;It's been a hard year.;Это был трудный год.
white;белый;Snow is white.;Снег белый.
sun;солнце;The sun is rising.;Солнце встаёт.
city;город;The city sleeps.;Город спит.
thing;вещь;Things break.;Вещи ломаются.
month;месяц;I moved last month.;Я переехал в прошлом месяце.
leg;нога;Lift your legs.;Подними ноги.
give;давать;Give me time.;Дай мне время.
teach;обучать, преподавать;He teaches English.;Он преподаёт английский.
ready;готовый;Dinner is ready.;Ужин готов.
get;получать;I didn't get an email from him today.;Сегодня я не получал от него письма.
foot;ступня;My foot hurts.;У меня болит ступня.
run;бежать;Run fast!;Беги быстро!
cold;холодный;Cold water, please.;Холодной воды, пожалуйста.
face;лицо;Wash your face.;Умой лицо.
dark;тёмный;The sky was dark.;Небо было тёмным.
quick;быстрый;I'm very quick.;Я очень быстрый.
morning;утро;Good morning, everybody.;Доброе утро всем.
bus;автобус;Take a bus.;Езжай на автобусе.
write;писать;Keep writing.;Продолжай писать.
work;работа, работать;Good work!;Хорошая работа!
fast;быстрый;Run fast!;Беги быстро!
door;дверь;Shut the door.;Закрой дверь.
light;светлый, свет;Turn off the light on leaving the room.;Выключайте свет, выходя из комнаты.
child;ребёнок;Any child knows it.;Это каждый ребёнок знает.
people;люди;People change.;Люди меняются.
part;часть;I love this part.;Эта часть мне нравится.
