property;свойство, собственность;This is private property.;Это частная собственность.
lay;класть, положить;He lay on the bed.;Он лежал на кровати.
final;заключительный;This decision is final.;Это решение окончательно.
authority;власть;You are abusing your authority.;Ты злоупотребляешь своими полномочиями.
perfect;совершенный;Nobody is perfect.;Никто не совершенен.
method;метод;This method works every time.;Этот метод каждый раз срабатывает.
region;область, регион;The river flooded the entire region.;Река затопила весь район.
impact;влияние, воздействие;How did that decision impact your career?;Как это решение повлияло на твою карьеру?
indicate;обозначать;Smiles do not always indicate pleasure.;Улыбки не всегда означают удовольствие.
safe;безопасный;Everybody's safe.;Все в безопасности.
committee;комитет, комиссия;The committee elected him chairperson.;Комитет избрал его председателем.
supposed;предполагаемый;It's supposed to rain tonight.;Предполагается, что сегодня ночью пойдет дождь.
dream;мечта, мечтать, сон, видеть сон;I never dream.;Мне никогда не снятся сны.
training;обучение, тренировка, тренинг;His hobby is strength training.;Его хобби - силовая тренировка.
central;центральный, главный;Which way is Central Park?;Как пройти к Центральному парку?
option;опция, вариант;There's another option.;Есть другой вариант.
eight;восемь;Spiders have eight legs.;У пауков восемь ног.
particularly;в особенности;I'm not particularly impressed.;Я не особенно впечатлён.
completely;полностью;Relax completely.;Полностью расслабься.
opinion;мнение;Your opinion matters.;Твоё мнение важно.
main;главный;This is our main goal.;Это наша главная цель.
ten;десять;Count to ten.;Посчитай до десяти.
interview;интервью, собеседование;This interview is over.;Это интервью окончено.
exist;существовать;Rambo doesn't exist.;Рэмбо не существует.
remove;убирать;Soap helps remove the dirt.;Мыло помогает удалить грязь.
dark;тёмный;He has dark hair and dark eyes.;У него темные волосы и темные глаза.
union;союз;It's free for European Union citizens.;Для граждан Евросоюза бесплатно.
professor;профессор;But that's impossible, professor.;Но это невозможно, профессор.
pressure;давление, оказывать давление;Don't pressure me.;Не дави на меня.
purpose;цель;He achieved his purpose.;Он достиг своей цели.
stage;сцена, этап;He acted on the stage.;Он играл на сцене.
blue;голубой;She likes blue dresses.;Ей нравятся голубые платья.
herself;себя, сама;She behaved herself.;Она хорошо себя вела.
sun;солнце;The sun rises.;Солнце всходит.
pain;боль;I feel your pain.;Я чувствую твою боль.
artist;художник, артист;The artist is gifted.;Артист одарён.
employee;сотрудник;They consider him their best employee.;Они считают его своим лучшим сотрудником.
avoid;избегать;Don't avoid my question.;Не избегай моего вопроса.
account;счёт, профиль;She activated the account.;Она активировала аккаунт.
release;релиз, отпускать;Release him!;Отпустите его!
fund;капитал, финансировать;This program must be funded from the state budget.;Эту программу нужно финансировать из государственного бюджета.
environment;окружающая среда, среда;We must protect the environment.;Мы должны охранять окружающую среду.
treat;обращаться, лечить;Treat him well.;Обращайтесь с ним хорошо.
specific;специфический, конкретный,;Please give him detailed and specific directions.;Пожалуйста, дайте ему детальные и конкретные указания.
version;версия;Buy the full version.;Купите полную версию.
shot;выстрел;Han shot first!;Хан выстрелил первым!
hate;ненавидеть, ненависть;Hate hates hate.;Ненависть ненавидит ненависть.
reality;реальность;Unfortunately, that's the reality.;К сожалению, такова реальность.
visit;посещение, посещать;Visit us tomorrow.;Навестите нас завтра.
club;клуб, дубина;Welcome to the club.;Добро пожаловать в клуб!
justice;справедливость, правосудие;We demand justice.;Мы требуем справедливости.
river;река;The river is dangerous.;Река опасна.
brain;мозг;Use your brain!;Используй мозг!
memory;память;Your memory is good.;У тебя хорошая память.
rock;камень, скала, качаться, качать;Don't stumble over the rock.;Не споткнитесь об этот камень.
camera;фотоаппарат, кинокамера;Lights, camera, action!;Свет, мотор, начали!
global;всемирный, глобальный;Think global, act local.;Мысли глобально, действуй локально.
various;разнообразный;They talked about various subjects.;Они говорили на различные темы.
arrive;прибывать;When did you arrive? Did you arrive today?;Когда вы приехали? Вы сегодня приехали?
notice;уведомление, замечать;Nobody will notice.;Никто не заметит.
detail;деталь, подробность;The plan was discussed in detail.;План обсудили в деталях.
challenge;вызов,;I accept that challenge.;Я принимаю этот вызов.
argument;аргумент, спор;We had a little argument.;У нас был небольшой спор.
nobody;никто;Nobody cares.;Никому нет дела.
weapon;оружие;Choose your weapon.;Выбирай оружие.
station;станция;What station is it?;Что это за станция?
island;остров;Iceland is an island.;Исландия — это остров.
absolutely;совершенно, абсолютно;Absolute power corrupts absolutely.;Абсолютная власть абсолютно развращает.
instead;вместо;He uses honey instead of sugar.;Он использует мёд вместо сахара.
discussion;обсуждение;Let's end this discussion.;Давайте закончим эту дискуссию.
affect;оказывать влияние;These chemicals may affect bees.;Эти химические вещества могут повлиять на пчел.
anyway;как бы то ни было;Thanks anyway.;В любом случае спасибо.
respond;отвечать;I have to respond.;Мне надо ответить.
trouble;неприятность, проблема;Stop creating trouble.;Хватит создавать проблемы.
conversation;разговор;Tom overheard our conversation.;Том подслушал наш разговор.
manage;руководить, справляться;Did you manage to sleep?;Тебе удалось поспать?
date;дата, пара, свидание, финик;Pick a date.;Выбери дату.
army;армия;The army had to retreat.;Армии пришлось отступить.
charge;заряжать, обвинение, оплата, взимать плату;I charge high rates.;Я беру высокую плату.
seat;сиденье;I booked a seat.;Я забронировал место.
assume;предполагать;Let's assume it's true.;Предположим, что это правда.
writer;писатель;You're an excellent writer.;Ты замечательный писатель.
perform;выполнять, выступать;You must perform your duty.;Вы должны выполнить ваш долг.
credit;одобрение, кредит, заслуга;Cash or credit card?;Наличными или кредиткой?
green;зелёный;Green suits you.;Зеленый тебе идет.
marriage;брак;Marriage is a serious matter.;Женитьба - дело серьёзное.
operation;операция;The doctor performed the operation.;Врач выполнил операцию.
indeed;действительно, в самом деле;Indeed, you were right.;Действительно, ты был прав.
sleep;спать;You should sleep.;Тебе надо спать.
necessary;необходимый;He makes necessary changes.;Он вносит необходимые изменения.
reveal;обнаруживать, раскрывать;I can't reveal my source.;Я не могу раскрыть свой источник.
agent;агент;She is an estate agent.;Она - агент по недвижимости.
access;доступ;Access denied.;Доступ запрещён.
bar;бар, решетка, металлический прут;The bar is crowded.;Бар переполнен.
debate;обсуждение, спор;This debate is silly.;Это глупый спор.
leg;нога;Tom cut his leg.;Том порезал ногу.
contain;содержать, сдерживать;Most toothpastes contain fluoride.;Большинство зубных паст содержат фтор.
beat;бить;His heart beat rapidly.;Его сердце билось с бешеной скоростью.
cool;прохладный, крутой;That's very cool.;Это очень круто.
democratic;демократический;Two rival parties are essential to good democratic government.;Для демократического правительства важно наличие двух конкурирующих партий.
cold;холодный ;Cold water, please.;Холодной воды, пожалуйста.
glass;стекло, стакан;Glass breaks easily.;Стекло легко бьётся.
improve;улучшать;Try to improve your English.;Попробуйте улучшить свой английский.
adult;взрослый;Two adult tickets, please.;Два взрослых билета, пожалуйста.
trade;торговля, торговать;Canada has signed a trade agreement with the European Union.;Канада подписала торговое соглашение с ЕС.
religious;религиозный;He's very religious.;Он очень религиозный.
review;отзыв, пересмотр;The film received mixed reviews.;Фильм получил смешанные отзывы.
address;адрес;Here's my email address.;Вот мой электронный адрес.
association;ассоциация;The association has thirty members.;В ассоциации тридцать членов.
measure;мера, единица измерения, измерение;Measure seven times, cut once.;Семь раз отмерь, один раз отрежь.
stock;запас, ассортимент, акции;Stock prices dropped.;Цены на акции упали.
gas;газ;Turn off the gas.;Выключи газ.
deep;глубокий;Take a deep breath.;Сделайте глубокий вдох.
lawyer;юрист;I'm calling my lawyer.;Я звоню своему адвокату.
production;производство;Production has already begun.;Производство уже началось.
relate;относиться;How does this relate to our theme?;Как это связано с нашей темой?
