market;рынок;It's a niche market.;Это нишевой рынок.
air;воздух;The air became warm.;Воздух стал тёплым.
force;сила, заставлять;May the force be with you.;Да пребудет с тобой сила.
require;требовать;Do you require assistance?;Вам требуется помощь?
foot;ступня;He's bound hand and foot.;Он связан по рукам и ногам.
listen;cлушать;Listen and listen carefully.;Слушай, и слушай внимательно.
agree;соглашаться;I absolutely agree.;Я полностью согласен.
according;в соответствии, согласно;Everything is going according to plan.;Всё идёт согласно плану.
anyone;кто-нибудь, любой;Don't tell anyone.;Не говори никому.
baby;младенец;The baby is sleeping.;Ребёнок спит.
wrong;неправильный;Everything's wrong.;Всё неправильно.
cut;резать;Mary cut herself.;Мэри порезалась.
decide;решать;The committee decided not to decide anything.;Комитет постановил ничего не постановлять.
republican;республиканец;Lincoln was a Republican.;Линкольн был республиканцем.
full;полный;The cup is full.;Чашка полная.
behind;позади;She looked behind.;Она оглянулась назад.
pass;проходить, передавать, пропуск;Let me pass, please.;Пожалуйста, дайте мне пройти.
interest;интерес;You've aroused my interest.;Ты возбудил во мне интерес.
sometimes;иногда;That happens sometimes.;Такое иногда бывает.
security;безопасность;Our security cameras are fake.;Наши камеры слежения не настоящие.
eat;есть;Eat something.;Съешь что-нибудь.
report;сообщать, жаловаться, отчёт;Write a report.;Напишите отчет.
control;управлять, контроль;Everything's under control.;Всё под контролем.
rate;ставка, темп, курс, процент;Rate the app.;Оцените приложение.
local;местный;Think global, act local.;Мысли глобально, действуй локально.
suggest;предлагать;I suggest a different approach.;Я предлагаю другой подход.
nation;нация;The whole nation voted in the election.;Вся нация проголосовала на выборах.
sell;продавать;Don't sell yourself short.;Не продавай себя дёшево.
action;действие;Time for action!;Пора действовать!
support;поддержка;Thanks for your support.;Спасибо за вашу поддержку.
wife;жена;Call your wife.;Позвони жене.
decision;решение;Make a decision.;Прими решение.
receive;получать;Please receive my condolences.;Пожалуйста, примите мои соболезнования!
value;ценность, величина;I value your candor.;Я ценю твою откровенность.
base;основа, база;There is a military base near here.;Тут рядом есть военная база.
pick;выбирать, собирать;Just pick one.;Просто выбери какой-то один.
phone;телефон, звонить;My phone died.;Мой телефон разрядился.
thanks;благодарность, спасибо;Thanks again.;Спасибо ещё раз.
event;событие;We postponed the event.;Мы отложили это событие.
drive;водить;Self-driving cars drive themselves.;Беспилотные автомобили управляются сами по себе.
strong;сильный;Just be strong.;Просто будь сильным.
reach;достигать;Can you reach the ceiling?;Вы можете достать до потолка?
