guide;гид;The guide will accompany us.;Гид будет нас сопровождать.
double room;двухместный номер;Do you have a double room?;У вас есть двухместный номер?
gate;выход на посадку;How do I get to Gate 5?;Как пройти к пятому выходу на посадку?
monument;памятник,монумент;This monument is closed to visitors.;Этот памятник закрыт для посетителей.
route;маршрут;I know a shorter route.;Я знаю более короткий маршрут.
ocean;океан;The ocean was calm.;Океан был спокойным.
north;север;The wind is blowing from the north.;Ветер дует с севера.
helicopter;вертолет;The helicopter is landing.;Вертолёт приземляется.
cab;такси;Let's get a cab.;Давай возьмём такси.
aisle;проход;His seat in the plane was on the aisle.;Его место в самолёте было в проходе.
parking;парковка;Parking prohibited!;Парковка запрещена.
car;автомобиль, машина;He has his own car.;У него есть свой автомобиль.
distance;расстояние;He sat at a distance from me.;Он сидел от меня на расстоянии.
bill;счёт;Could I have the bill, please?;Можно мне счёт, пожалуйста?
volcano;вулкан;Etna is a volcano in Italy.;Этна - вулкан в Италии.
waterfall;водопад;It's the only waterfall in this mountain range.;Это единственный водопад в этой горной цепи.
forest;лес;There are no birds in this forest.;В этом лесу нет птиц.
swamp;болото;The plague came from the swamp.;Мор пришёл с болота.
landing;посадка;The landing was perfect.;Посадка была идеальной.
park;парк;He got lost in the park.;Он заблудился в парке.
street;улица;My house is just across the street.;Мой дом - прямо через улицу.
strait;пролив;The Bering Strait separates Asia from North America.;Берингов пролив отделяет Азию от Северной Америки.
mile;миля;My house is only a mile from here.;Мой дом всего в миле отсюда.
exit;выход;All exits are marked with an exit sign.;Все выходы помечены знаками "выход".
bridge;мост;This bridge was originally a toll bridge.;Проезд по этому мосту изначально был платным.
journey;путешествие, поездка (обычно сухопутное);It was a long journey.;Это было длинное путешествие.
tunnel;туннель, тоннель;This tunnel is twice as long as that one.;Этот туннель вдвое длиннее того.
capital;столица;London is the capital of England.;Лондон - столица Англии.
book;бронировать;To book a table.;Забронировать столик.
rainforest;тропический лес;Save the rainforest!;Спасите тропические леса!
taxi;такси;The taxi has arrived.;Такси подъехало.
gulf;залив;A gulf divided him from them.;От них его отделял залив.
flight;полет,рейс;I missed my flight. Can I get on the next flight?;Я пропустил свой рейс. Могу я полететь следующим?
return ticket;обратный билет;Do you have a return ticket to Japan?;У Вас есть обратный билет в Японию?
suitcase;чемодан;Who does this suitcase belong to?;Кому принадлежит этот чемодан?
flight attendant;бортпроводник;The flight attendant brought Tom a drink.;Бортпроводник принес Тому выпить.
river;река;I was able to swim across the river.;Я смог переплыть реку.
direction;направление;Which direction did he go?;В какую сторону он пошёл?
railway station;железнодорожный вокзал;Where is the railway station?;Где железнодорожный вокзал?
island;остров;There was no life on the island.;На острове не было никакой жизни.
subway;метро;We can get there by subway.;Мы можем добраться туда на метро.
shuttle;шаттл;My airport shuttle bus leaves at six o'clock.;Шаттл до моего аэропорта отправляется в 6 часов.
souvenir;сувенир;Is there a souvenir shop in the hotel?;Есть ли в гостинице сувенирный магазин?
hike;поход;Since it was sunny, we went on a hike.;Так как было солнечно, мы пошли в поход.
stopover;остановка в пути;We had a stopover in Boston.;В Бостоне мы сделали остановку.
airline;авиакомпания;The airline lost my bags.;Авиакомпания потеряла мой багаж.
address;адрес;I have your address.;У меня есть твой адрес.
postcard;открытка;Send me a postcard.;Отправь мне открытку.
key;ключ, источник;Get me the key.;Принеси мне ключ.
destination;пункт назначения;You have reached your destination.;Вы достигли пункта назначения.
national park;национальный парк;Hunting is banned in national parks.;В национальных парках охота запрещена.
twin room;двухместный номер;You are entitled to a private room and will not be expected to share a twin room with colleagues. ;Вы имеете право на личную комнату и мы не будем требовать от вас делить двухместный номер с коллегами. 
square;площадь, сквер;The demonstrators gathered in the square.;Демонстранты собрались на площади.
current;течение;The current of this river is rapid.;В этой реке быстрое течение.
discount;скидка;Is there a discount for children?;Есть ли скидка для детей?
way;путь;You are in my way.;Ты на моем пути.
bicycle;велосипед;That bicycle is too small for you.;Этот велосипед слишком мал для тебя.
insurance;страховка;What does your insurance cover?;Что покрывает страховка?
village;деревня;He is from our village.;Он из нашей деревни.
delay;задерживать;We apologize for the delay.;Мы извиняемся за задержку.
doctor;врач;Do what the doctor said.;Делай, как сказал врач.
exhibition;выставка;The exhibition was very impressive.;Выставка была очень впечатляющей.
land;земля + суша + земля,суша;He sold all his land.;Он продал всю свою землю.
public transport;общественный транспорт;We use public transport.;Мы используем общественный транспорт.
tide;прилив и отлив;Every tide has its ebb.;У каждого прилива есть свой отлив.
tips;чаевые;Did you leave a tip?;Вы оставили чаевые?
traffic;трафик;I was late because of the traffic.;Я опоздал из-за трафика.
trail;след, тропа;Where does this trail lead?;Куда ведёт эта тропа?
sightseeing;осмотр достопримечательностей;Do you have any sightseeing tours of this town?;В этом городе есть какие-нибудь экскурсионные туры?
entrance;вход;Where is the entrance to the museum?;Где вход в музей?
harbour;бухта;The fishing boats leave the harbour.;Рыбацкие лодки покидают бухту.
centre;центр (BrE);I live in the town centre.;Я живу в центре города.
desert;пустыня;Crossing that desert is dangerous.;Переход через ту пустыню опасен.
bench;скамейка,скамья;He is lying on the bench.;Он лежит на скамейке.
overweight;перевес;What to do when your luggage is overweight?;Что делать, если у вас перевес багажа?
bike;велосипед;I will get you a bike for your birthday.;Я подарю тебе велосипед на день рождения.
location;расположение, местонахождение;This is the perfect location.;Это идеальное расположение.
museum;музей;Is there a museum in this town?;В этом городе есть музей?
kilometer;километр;I try to swim a kilometer a day.;Я стараюсь проплывать по километру в день.
west;запад;The station is to the west of the hotel.;Станция находится к западу от гостиницы.
ferry;паром;We took a ferry from the island to the mainland.;Мы перебрались с острова на материк на пароме.
globe;земной шар;I travel to all parts of the globe.;Я путешествую во все части земного шара.
tour;экскурсия + тур,экскурсия;That tour already has a waiting list.;На этот тур уже очередь ожидающих.
canyon;каньон;Have you seen the Grand Canyon?;Вы видели Гранд-Каньон?
sea;море;He has a house by the sea.;У него дом у моря.
ride;поездка, ездить;He can ride a horse.;Он умеет ездить верхом.
vehicle;транспортное средство, автомобиль;Don't get off while the vehicle is in motion.;Не выходите, пока транспортное движется.
passport;паспорт;You must show your passport.;Вы должны показать свой паспорт.
countryside;сельская местность;Every summer I go to the countryside.;Каждое лето я езжу в деревню.
hotel;гостиница;This hotel will not do.;Эта гостиница не подойдёт.
cliff;утес;They climbed to the top of a cliff.;Они взобрались на вершину утёса.
surface;поверхность;Its surface was as flat as a mirror.;Его поверхность была гладкой, как зеркало.
valley;долина;The river runs through the valley.;Река течет по долине.
avenue;авеню, проспект;This avenue is wide but not very long.;Этот проспект широкий, но не очень длинный.
town;город, городок;What a beautiful town!;Какой красивый город!
declare;декларировать;Do you have anything to declare?;Есть ли у вас вещи, подлежащие декларированию?
hostel;хостел;Have you considered staying in a hostel?;Ты не думал остановиться в хостеле?
window seat;место у окна;I'd prefer a window seat.;Я бы предпочёл место у окна.
pier;пирс;Tom was on the pier.;Том был на пирсе.
beach;пляж;They went to the beach.;Они ушли на пляж.
embassy;посольство;This is the American Embassy.;Это американское посольство.
market;рынок;We are going to the market.;Мы идём на рынок.
hospital;больница;We have to get you to the hospital.;Нам надо отвезти вас в больницу.
canal;канал (искусственный);The Panama Canal connects the Atlantic with the Pacific.;Панамский канал соединяет Атлантический океан с Тихим.
promontory;мыс;The boat sailed around the promontory.;Лодка обогнула мыс.
road;дорога;Is there a shorter road to get there?;Туда можно добраться более короткой дорогой?
restaurant;ресторан;I like the atmosphere of this restaurant.;Мне нравится атмосфера, которая царит в этом ресторане.
car rental;прокат машин;Guests can make use of car rental.;Гости могут воспользоваться прокатом машин.
airport;аэропорт;We need to get to the airport.;Нам нужно добраться до аэропорта.
hemisphere;полушарие;The United States is in the Northern Hemisphere.;Соединённые Штаты находятся в Северном полушарии.
motorcycle;мотоцикл;I can lend you my motorcycle.;Я могу одолжить тебе свой мотоцикл.
jungle;джунгли;This is the law of the jungle.;Это закон джунглей.
fountain;фонтан;The water from this fountain is clear.;Вода из этого фонтана чистая.
wheel;колесо;A unicycle has one wheel.;У моноцикла одно колесо.
transfer;трансфер;Transfer to the airport. ;Трансфер в аэропорт. 
