mandarine;мандарин;Mandarins are rich in vitamins.;Мандарины богаты витаминами.
garlic;чеснок;There's too much garlic.;Слишком много чеснока.
soft-boiled eggs;яйца всмятку;These eggs are soft-boiled.;Это яйца всмятку.
mint;мята;Mary brought Tom a cup of mint tea.;Мэри принесла Тому чашку чая с мятой.
tuna;тунец;Tuna can swim very fast.;Тунец может очень быстро плавать.
pizza;пицца;I deliver pizzas.;Я разносчик пиццы.
cucumber;огурец;Peel the cucumbers.;Почисти огурцы.
strawberry;земляника, клубника;This purse is strawberry.;Эта сумка клубничного цвета.
wine list;винная карта;Can I see the wine list?;Могу я посмотреть карту вин?
mustard;горчица;I'll have two hot dogs with mustard and ketchup.;Пожалуйста, две сосиски с горчицей и кетчупом.
sandwich;сэндвич;I dropped my sandwich.;Я выронил сэндвич.
lunch;обед;Stay for lunch.;Оставайся на обед.
spice;пряность;Spices improve dishes.;Специи улучшают вкус блюд.
lemonade;лимонад;The lemonade is cold.;Лимонад холодный.
low-fat;низкое содержание жира;Low-fat milk for me.;Мне обезжиренное молоко.
cream;сливки;Yogurt is made from milk and cream.;Йогурт делается из молока и сливок.
drink;напиток;Do you have alcohol-free drinks?;У вас есть безалкогольные напитки?
sauce;соус;Hunger is the best sauce.;Голод — лучший соус.
menu;меню;Here is your menu.;Вот ваше меню.
steak;стейк;The steak is well done.;Стейк хорошо прожарен.
seafood;морепродукты;This is the best seafood restaurant in this area.;Это самый лучший ресторан морепродуктов в этом районе.
cocktail;коктейль;That cocktail is sweet and easy to drink.;Коктейль сладкий и легко пьётся.
doughnuts;пончики;Have a doughnut.;Съешь пончик.
marmalade;мармелад;Tom put some marmalade on his toast.;Том положил немного мармелада на тост.
liter;литр;A liter of milk contains about thirty grams of protein.;Литр молока содержит около тридцати граммов белка.
blackberry;ежевика;Tom is eating blackberries.;Том ест ежевику.
lump;кусок;One lump of sugar, please.;Один кусок сахара, пожалуйста.
pomegranate;гранат;Did you buy the pomegranate juice?;Ты купил гранатовый сок?
beverage;напиток;What's your favorite non-alcoholic beverage?;Какой у тебя любимый безалкогольный напиток?
special;блюдо дня;What's the special today?;Какое сегодня блюдо дня?
cowberry;брусника;I was picking cowberries.;Я собирал бруснику.
no sugar;без сахара;No sugar for you?;Вам без сахара?
stew;рагу;The stew is still warm.;Рагу всё ещё тёплое.
napkin;салфетка;Clean your lips with the napkin.;Вытри губы салфеткой.
fig;инжир;Figs contain dietary fibre.;Инжир содержит пищевые волокна.
cereal;злак, каша;Mary prefers whole-grain cereals.;Мария предпочитает цельнозерновые злаки.
loaf;буханка;She bought a loaf of bread.;Она купила буханку хлеба.
dill;укроп;Borscht is often garnished with dill and sour cream.;Борщ часто подаётся с укропом и сметаной.
spicy;острый;It's too spicy.;Слишком остро.
pepper;перец;Add a little more pepper.;Добавьте ещё немного перца.
shrimp;креветка;My cat loves shrimp.;Мой кот обожает креветки.
slice;ломтик, нарезать;Slice the cucumbers.;Нарежьте огурцы.
beer;пиво;Two beers, please.;Два пива, пожалуйста.
chocolate;шоколад;Tom prefers coffee and chocolate with a slightly bitter taste.;Том любит горьковатый кофе и шоколад.
crispy crust;хрустящая корочка;How do you get a crispier crust?;Как сделать хрустящую корочку?
sparkling water;газированная вода;A glass of sparkling water, please.;Стакан газированной воды, пожалуйста.
orange;апельсин;Peel the orange.;Почисти апельсин.
beans;бобы;Chocolate is made from cocoa beans.;Шоколад делают из какао-бобов.
punch;пунш;Would you care for a drink of punch?;Хотите стакан пунша?
ice-cream;мороженое;I want ice cream.;Том любит мороженое.
croissant;круассан;I'll have a coffee and a croissant.;Кофе и круассан, пожалуйста.
ketchup;кетчуп;I'll have two hot dogs with mustard and ketchup.;Пожалуйста, две сосиски с горчицей и кетчупом.
apple;яблоко;Peel the apple.;Почисти яблоко.
espresso;эспрессо;Tom has an espresso machine.;У Тома есть эспрессо-машина.
cheeseburger;чизбургер;Tom ate a double cheeseburger.;Том съел двойной чизбургер.
carrot;морковь;Rabbits like carrots.;Кролики любят морковку.
soft drink;безалкогольный напиток;Do you have any soft drinks?;У вас есть безалкогольные напитки?
chicken breast;куриная грудка;Coat the chicken breast with flour.;Обваляйте куриные грудки в муке.
coconut;кокос;Coconuts have hard shells.;У кокосов прочная скорлупа.
banana;банан;Monkeys like bananas.;Обезьяны любят бананы.
wine;вино;I brought wine.;Я принёс вино.
book a table;заказать столик;I have booked a table for four.;Я забронировал столик на четверых.
eggplant;баклажан;They say that an eggplant has lots of nicotine.;Говорят, что в баклажанах много никотина.
cider;сидр;I love apple cider.;Я очень люблю яблочный сидр.
whole grain;цельное зерно;Mary prefers whole-grain cereals.;Мария предпочитает цельнозерновые злаки.
broccoli;брокколи;Eat your broccoli!;Ешь брокколи!
prune;чернослив;My prune cake is delicious;Мой кекс с черносливом вкусный.
pudding;пудинг;Can I have some more pudding?;Можно мне ещё пудинга?
hot chocolate;горячий шоколад;Mmm, hot chocolate!;Ммм, горячий шоколад!
